hear afriend decide make atrium,pos,
fast convince,pos,
apply atm,neg,
poor communication value customer,neg,
enjoy sound interest,pos,
happy enjoy bank faulu kitale kimathi,pos,
l think put extra effort,neg,
honest truthful communication transparency loan never seem reduce instant huge arrears spot,neg,
kind transparent business,neg,
credit card response also simple average,neg,
faulu bank,pos,
make several call email update crb status transunion,neg,
activate acct must go,neg,
one staff member service exceptional,pos,
hate even mention name,neg,
never call dear,neg,
friendly staff detail information customer quick disbursement loan afford rat,pos,
save faulu receive great service sound return,pos,
happy first time step open account faulu bank regret,pos,
would happy agent,pos,
would happy agent branch near home preferably kyasioni market,neg,
open mo branch offer mobile loan,neg,
way,pos,
train employee,neg,
come result encounter,pos,
say forward issue relevant team,neg,
never solve complaint,neg,
year bussiness grow,pos,
comfortable bank far account holder bank,pos,
real love dtb much send bos deposit cash,pos,
love,pos,
customer service reliance superb lack well word,pos,
service get every,pos,
service get every time visit branch get certify,pos,
never happen take,neg,
come communication staff treat one garbage,neg,
far service sound,pos,
effort point meet attitude,neg,
network coverage average comfortable data speed,neg,
far sound,pos,
sound work pliz keep,pos,
keep promise pay,pos,
honesty integrity u client,pos,
number give help line jam advert expensive helpful,pos,
friendly individual take,neg,
comfortable receive staff,pos,
service satisfactory,pos,
cost get,neg,
still percentage rate luxurious compare bank,neg,
drain kenyan hardened earn money direct rate loan,neg,
poor communication institution client,neg,
personal wait information regard,neg,
relationship team knowledge,pos,
continue,pos,
excellent bank,pos,
experience sound,pos,
nice quiet bank,pos,
service sound particulary,pos,
simple define direct forward,pos,
kind increase vegatarian option improve delivery time,neg,
kind add vegatarian option menu,neg,
service offer excellent anytime enter office,pos,
also get update every company,pos,
increase size sandwich excellent,pos,
meal afford,pos,
food fresh tasty,pos,
sandwich moderate sound,neg,
attractive discount,neg,
information contain,neg,
food sound staff kind especial delivery guy,pos,
get problem get someone line ever problem many staff remind payment date,neg,
imprest happy,pos,
score sound work service give u,pos,
long receive sm notification deposit money money market account,neg,
customer serve fast,pos,
incessant attend comfortable,pos,
like shop hotpoint,pos,
like,pos,
safe convenient ease use,pos,
mean charge plain theft,neg,
excellent customer service,pos,
honest safcom life game changer say safcom eighth wonder world keep guy comfortable go,pos,
update raise issue,neg,
business loan tat okay,pos,
great bank,pos,
never bank another bank,pos,
incessant receive,pos,
near branch access lten migori far,pos,
communication bank institution something,neg,
sound fast customer service,pos,
frustrate thing zuku customer lack information,neg,
incessant receive comfortable,pos,
system time,neg,
possible waiver delivery fee,neg,
improve delivery time add item create wide variety,neg,
market pro active,neg,
use receive message special menu,neg,
wait new item menu,neg,
since start deal hot point staff friendly prompt respond query,pos,
remark service level,pos,
simple excellent staff member,pos,
staff follow end,pos,
excellent service even network poor,pos,
quick solve issue,pos,
perhaps improve forex rate usd,neg,
staff profession,pos,
incessant recommend gt everywhere go,pos,
efficient service,pos,
sound work,pos,
champion service,pos,
thank prudential make well,pos,
receive great service,pos,
look forward receive use fridge,pos,
happy customer experience,pos,
makeks happy,pos,
phone call get,neg,
go aga khan clinic hospital un find name list Aesculapius cover jubilee go retrieve physics receipt issue take back hospital send insurer proof payment,neg,
pay Aesculapius cover couple week ago get confirmation payment receive,neg,
loyalty card also one,pos,
incessant love nakumatt,pos,
today sound service nakumatt junction end use clark store till ca wait back,pos,
loyalty card also one kind,pos,
ordinary ample park spacious shop mall,pos,
way lazy staff arrogant specically loan clerk,neg,
agent give correct information hence become untrustworth,neg,
service provision,pos,
fair sound variety product hardworking staff sound work ethic,pos,
never let need help,pos,
slow service,neg,
keep deliver,pos,
quick mobile bank service deposit transaction,pos,
fast mobile bank service,pos,
impressive mobile deposit service,pos,
quick mobile deposit service afford,pos,
queue quick mobile service friendly staff,pos,
quick mobile service,pos,
month back,neg,
great response time get u need clarify query,pos,
since year least see positivism change unless change,pos,
overcharge bill un resolve matter month end,neg,
sale staff hospit u explain product detail,pos,
feel payment desk little,pos,
inconvenience face teach lesson,pos,
julius work abroad operate bank,pos,
issue sort year line,neg,
start rude staff most loan officer lack feedback make enquiry,neg,
increase vegeterain option also improve delivery time different like service food great,neg,
excellent service great customer service,pos,
real love zucchini,pos,
real love brand superb,pos,
increase variety menu like could include veget curry,neg,
increase variety item menu would amaze,neg,
real love,pos,
feel like introduce,neg,
would nice introduce githeri,neg,
happy friendly menu,pos,
real love halloumi harissa wrap,pos,
would like try,neg,
interest rate luxurious,neg,
deposit withdrawal use,pos,
different far sound,pos,
happy service render,pos,
difficult get hold staff especial problem contact centre twitter help even card service,neg,
secondly boastful issue card,neg,
difficult get hold,neg,
would recommend expand,pos,
past experience,neg,
enjoyable surprise secure efficient use,pos,
otp ensure safe online transaction ease use atm pin transaction amaze,neg,
like red tape force one go branch thing do phone,neg,
shop strategy place like service offer,pos,
customer care poor,neg,
one care know,neg,
promise fix downtime,neg,
tire incessant call guy fix,neg,
quality product everything,pos,
poor customer service,neg,
slow net,neg,
response time fast especial case emergency,neg,
service general sound,pos,
day age,neg,
take work day fix criticism problem,neg,
everything sound far,pos,
sound seasonable communication adopt branch would happy,neg,
grow together since,pos,
claim tell sign fresh cancellation exist cover,neg,
follow every month,neg,
tell many prudential,pos,
try pro duct theni commend,pos,
excellent give customer comfortable service,pos,
tuskys outlet mall excellent,pos,
alittle advice one pay non refund deposit asset would nice go give loan,neg,
also issue,neg,
rude unbecoming behaviour prompt service,neg,
customer care desk also prompt deal customer problem inquiry,neg,
provide assistance customer need,neg,
case revisit branch couple time start asset finance process due unclear communication regard document end go hq,neg,
communication rat,neg,
staff speak,neg,
satisfy occasion,neg,
struggle even get accord zuku speed test poor consistency speed past month also acknowledge nothing,neg,
agent one comfortable comfortable industry would,pos,
company informative nowadays,pos,
opinion solid insurance company,pos,
provider client feel great uap client dedication,pos,
provider client feel great uap client dedication excellent settle bill time,pos,
disappoint customer,neg,
benefice deny care,neg,
nevertheless least apply get replacement,neg,
apart debit card already fall apart within month usage,neg,
prudential rely improve shield assurance,pos,
comfortable serve communication,pos,
im customer,pos,
lynne sound interpersonal skill,pos,
sound staff sound deal steve cooperative select comfortable appliance sale offer,pos,
say prudential comfortable progress take shield assurance,pos,
recommend prudential rely improve,pos,
informative expert opinion staff,pos,
nic one,pos,
nic one simple matter technology experience much red tape occasional drop ball overall sound,pos,
value money,pos,
sound clear communication would happen,pos,
day installation take site visit get,neg,
sale team carry,neg,
excellent sale service,pos,
safaricom staff clue come bill,pos,
meanongful support,neg,
kcb care call instruct repeat withdrawal request call back minute hour past call,neg,
prudential pay claim fast comparison shield,pos,
happy customer beatriice iirangi,pos,
installment payment boost,pos,
aar insurance service great,pos,
quick turn around time quote new installation,neg,
far sound keep hardened work excellent service client claim management,pos,
near branch ruaka service incessant snail pace wait staff call attend,neg,
otherday wife take hour even hour leave sample,neg,
cc team would assist contact provider person whenever patient face challanges,neg,
especial unfavorable wait period long,neg,
Aesculapius insurance provider seamless flow service hospital,neg,
provide seam trust hospital hospital make number call almost stag,neg,
delay get new card office could get,neg,
email contact nairobi woman hospital adam arcade aar office materialize force,neg,
confidence prudential,pos,
hour many follow call cashier aar staff say form clear need ask doctor indicate recommend test ask cashier let talk aar staff,neg,
dont think get value money aar,neg,
would happy could remove copy fee aar facility,neg,
like fair environment aar staff sound,pos,
would happy though thing would do slight fast show sense urgency concern comfortable,neg,
sound experience co operative staff ready help anytime,pos,
aar slow,neg,
corporation client speed essence u ensure staff comfortable cover time,neg,
like mombasa,pos,
sound work keep,pos,
prudential sound,pos,
week late kcb resolve promise,neg,
even kcb bank still,neg,
keep get message,neg,
think must issue,neg,
need variety item,neg,
service sound,pos,
great product service people,pos,
enough staff sale,pos,
staff sweet,neg,
till system awful,neg,
take long require much information beyond,neg,
appear care,neg,
also find one floor manager bite unfriendly,neg,
smile go,neg,
staff store helpful,pos,
cashier apologetic keep u wait,neg,
payment system pick long,neg,
need increase staff,neg,
happy prudential,pos,
take care customer feel even remain unwavering,neg,
manager duty either helpless care even l try,neg,
take cheap,neg,
least confident prudential,pos,
outstanding service receive rita several occasion,pos,
mamta kind,neg,
offensive kind look,neg,
thank prudential pay claim though antecedent agent cheat,pos,
discount loyalty point someone redeem,neg,
online shop difficult,neg,
website load slow half item,neg,
attempt create online portal,neg,
sound customer service,pos,
proffesinal staff,pos,
company enjoy sound customer service general mathenge,pos,
still wish get sound discount frequent customer,pos,
profession staff,pos,
sound welcome team assist get vehicle sort,pos,
warm hospitality friendly staff,pos,
great service excellent quality work,pos,
staff communication sound,pos,
reception convince language,pos,
awesome service staff comfortable train,pos,
staff appear overwhelm slow payment process,neg,
interact long time every day prove sound,pos,
service receive far luxurious standard,pos,
happy customer complain,pos,
mumbi exceptional courteous,pos,
feel like store,neg,
sound service convenient location,pos,
range wiper blade,neg,
offer save cash,pos,
help sound,pos,
friendly profession staff,pos,
service excellent,pos,
great service come,pos,
keep,pos,
brand great,pos,
excellent service sound feedback,pos,
another car get,neg,
general sound service busy day though,pos,
first time happy customer,pos,
since come naivasha thing change service great price comfortable,pos,
sound far ca complain,pos,
even coffee well,pos,
sound product,pos,
great customer service,pos,
general great service,pos,
wait hour get,neg,
team work note,pos,
senior staff need improve,neg,
complaint amaze offer,pos,
service compare others far much well,pos,
short line smile quick service,neg,
sound competitive price,neg,
variety oil,neg,
wheel alignmentvis extreme expensive,neg,
enjoy service coffee comfortable,pos,
sound level technology customer service,pos,
sound service product,pos,
staff cold,neg,
compare garage awesome,pos,
comfortable service quality product,pos,
flexible employee,pos,
find want sound rate,pos,
poor service limuru branch repeat service do,neg,
bob alignment abit costly,neg,
sound service,pos,
boastful discount need,neg,
discount service effect,neg,
competent inform mechanic,pos,
break base expensive,neg,
comfortable one stop shop town,pos,
efficient time management,neg,
customer enjoy service lot,pos,
kind provide alternative variety oil filter accessory increase customer,neg,
since buy car service noproblem far experience,pos,
service general great part comparative afford,pos,
great staff excellent customer service delivery,pos,
staff go mile,pos,
value money profession approach,pos,
get assistance,neg,
like da arrange furniture choice plus,pos,
sound work environment comfortable train staff,pos,
keep service level incessant like,pos,
time call back though promise do,neg,
issue,pos,
satisfy excellent job do,pos,
customer service beat place know,pos,
staff service,pos,
current discount,pos,
service first class,neg,
far much well nakuru,neg,
sound staff,pos,
everything ok,neg,
client use ngong rd branch frequent,pos,
sound time management,pos,
service comfortable n pocket friendly,pos,
service comfortable n pocket,neg,
friendly service,pos,
staff seem quite comfortable inform,pos,
excellent service,pos,
incessant get excellent service,pos,
incessant get,pos,
every friendly,pos,
seem little expensive thani expect,neg,
measurement paint seem accurate leave several want buy,neg,
arrogant sound sale,neg,
will help customer,neg,
sale price expect,neg,
find sale,neg,
first experience sound,pos,
check sore slow,neg,
long process que buy,neg,
slow teller collection store,neg,
get call,neg,
excellent inform team,pos,
stand queue,neg,
kind reward loyal customer give free service time,pos,
compare competitor price service,pos,
prudential informative nowadays,pos,
happy prudential service,pos,
consistency make tyre,neg,
awesome incessant,pos,
receptive staff sound customer service,pos,
sound quality product machine,neg,
mention coffee water,pos,
orderliness also observe make easy long queue would move much fast,pos,
quality stuff,pos,
great service quality product,pos,
great service,pos,
friendly staff atmosphere include ammenities,pos,
appreciate reception ken susan v helpful,pos,
friendly knowleg mechanic,pos,
helpful courteous,pos,
happy motivate staff,pos,
sound rapot,pos,
customer satisfaction key satisfy,pos,
reception get,pos,
free wheelbalancing wheel,neg,
get sound discount tyre buy autoxpress,pos,
flexible price comfortable train staff,pos,
great work,pos,
comfortable service excellent time,pos,
staff comfortable inform  share,pos,
receive service year still come back,pos,
give comfortable service,pos,
u care u,pos,
though first visit impress,pos,
certain return,pos,
excellent service informative,pos,
quality service original spar,pos,
tacc well iin discount,neg,
company improve lot,neg,
many time already complaint regret far,pos,
autoxpress incessant choice,pos,
incessant recommend time,pos,
staff friendly inform,pos,
regular customer thus recommendation different would come back,pos,
fast reli service,pos,
gratefull service thank,pos,
serve comfortable accept speed,pos,
professionalism comfortable train staff fair work,pos,
coffee dispenser kisumu,pos,
incessant one stop shop,pos,
sound customer care service,pos,
one stop shop need,pos,
continue visit branch,pos,
essential quality,neg,
wow nice price service,pos,
come claim,pos,
ambience sound humour warm patient,pos,
wish would offer mechanics service one stop shop go elsewhere issue concern car,neg,
say company go,pos,
june philip customer,pos,
thank cup chocolate,pos,
payment process take long,neg,
organise staff teamwork one,pos,
speed efficiency service purpose management time,pos,
fair environment,pos,
diagnose problem,pos,
incessant receive excellent service value money,pos,
staff know stuff comfortable,pos,
regular customer since opned tge nyali naivas,pos,
give hand receipt,neg,
kind check department rectify since busy,neg,
go early week buy afew thing computer system,neg,
aar expensive,neg,
limit spend outpatient,neg,
customer service amaze,pos,
cost product rest exquisite,neg,
service courtesy accord stay luxurious class,pos,
service give excellent,pos,
nice office staff technician sound customer care,pos,
excellent customer care service kudos sound job,pos,
reception hospital,pos,
sound pr fred susan,pos,
quality product,pos,
everything simple,pos,
year let,pos,
incessant use service since,pos,
service great everything excellent second visit,pos,
sound service happy customer,pos,
fast service friendly staff damaris nathan jacktone vitalis,pos,
luxurious level pr,pos,
puncture repair wait,pos,
sound product seasonable service,pos,
sound environment fair place,pos,
excellent service do,pos,
provide excellent service sound value money,pos,
staff courteous,pos,
sound offer variety product,pos,
recent sale also extreme plus,pos,
god service nanyuki brach visit,pos,
discount exist,neg,
grace keep reassure despite fact take long,neg,
wait around time bite long,neg,
team profession,pos,
tea customer,pos,
every time come time incessant look,pos,
add discount also service,neg,
customer service sell skill employee,pos,
already happy keep sound work,pos,
sound stuff,pos,
excellent staff proper communication skill,pos,
five year work branch l,pos,
reception workshop,pos,
reception workshop staff friendly profession,pos,
enjoy ac honesty,pos,
fast service sound communication,pos,
fast service sound communication skill,pos,
sound fair environment,pos,
do happy staff friendly,pos,
get item week recent,neg,
customer service ok,pos,
consistent sound service langata branch,pos,
comfortable equip train staff,pos,
staff csl,pos,
price still make afford base economy scale enjoy industry,neg,
impress sound work,pos,
comfortable serve sound communication,pos,
sound staff sound service delivery,pos,
friendly competent staff sound marketer,pos,
quality service sound although price,neg,
allow room discount,neg,
buy tyre think great value,pos,
excellent service courteous staff especial sale people,pos,
wait offer,neg,
receive comfortable amnd product sound,pos,
happy customer service great,pos,
tv wait area,pos,
sound reception take average short time,neg,
great customer care service,pos,
fast excellent service include free mechanics check advice,pos,
incessant,pos,
reception sound welcome,pos,
sound service fast efficient keep warranty tire real save,pos,
give offer client,neg,
variety tyre sound quality,pos,
get excellent service,pos,
technician improve speed,neg,
fast efficient,pos,
customer service comfortable,pos,
free coffee nice people nice advice everyone love everything keep,pos,
person touch genuine part,pos,
friendly coperative staff,pos,
customer relation coffee free inspection professionalism,pos,
incessant feel home,pos,
service quick staff friendly,pos,
friendly staff quick service,pos,
staff welcome know address need,pos,
qualify staff sale technology guy comfortable train,pos,
could stock part common car make one stop shop service car,neg,
sound technology team,pos,
staff smart especial dress comfortable brand keep sound job god bless u happy holiday,pos,
sound service emphatic come back,pos,
cool work environment comfortable train staff,pos,
offer especial new brand introduce,pos,
efficiency friendly staff,pos,
great service genus,pos,
coffee shop,pos,
comfortable service sound product,pos,
free inspection excellent,pos,
saturday long queue,neg,
service provider,pos,
service provider long time impress,pos,
emphatic back,pos,
seasonable service,pos,
service sound staff treat u comfortable ca ask since enough,pos,
person experience also competitor area,pos,
prefer quality,pos,
one stop shop,pos,
like autoxpress,pos,
quick reli effecient,pos,
fast efficient reli service,pos,
restaurant park space car wash child playground nearby would give value,neg,
work vehicle,pos,
icome radar serve,pos,
price fair product,pos,
efficient friendly staff,pos,
comfortable serve also save time,pos,
sound service quality product,pos,
recent ask network breakdown area,pos,
spacious comfortable organize staff,pos,
reli tyreshop wide range product,pos,
sound customer service professional,pos,
prompt attention need,pos,
consider discount,neg,
great welcome staff price explain service carry,pos,
sound reception reception desk qualify sale people fair work environment,pos,
happy hollidays,pos,
speed,pos,
sound service come,pos,
impress new christmas offer,pos,
one stop shop car need,pos,
consistency time,pos,
satisfy customer service,pos,
back,pos,
seem know profession,pos,
sound brand,pos,
sound serve fast service knowledge staff,pos,
fast efficient reli,pos,
fit ferodo brake pad kisumu friendly staff kisumu,pos,
happy facility profession staff,pos,
price change quality service way boastful thumb team care customer,pos,
shall emphatic come,pos,
emphatic come back,pos,
invite environment sound customer service friendly staff,pos,
happy client autoxpress,pos,
sound result,pos,
fast sound service,pos,
love coffee,pos,
customer long time,pos,
impress hospitality,pos,
serve prompt receive advise maintenancecof,pos,
friendly healpful staff,pos,
prompt work,pos,
system never disappoint,pos,
sound friendly service save day bart go bonkus,pos,
staff quite welcome,pos,
guarantee real work inhave tyre change cost customer care class,pos,
guarantee real work inhave,pos,
quality excellent service,pos,
tahira nadeem fabulous go extra mile care customer sound job,pos,
love professionalism,pos,
high impress bybtge sound reception counter guy work car,pos,
excellent reception hospit service person opportunity review work do free advice necessary future service,pos,
tyre guarantee comfortable,pos,
tyre replacement still cant believe happen,pos,
thank kisumu branch,pos,
fast reli impress service,pos,
bring car double,pos,
l like,neg,
sound customer care service value money receive,pos,
great staff grind,pos,
receive value dollar,pos,
need improve service delivery time,neg,
service sound recommend others,pos,
thank fast service enjoy serve month december,pos,
perhaps visible online,neg,
customer service great great appreciate,pos,
would happy bridgestone tire becky want free fuel,neg,
resolution process,neg,
ca even get refund would get day ago ca even get estimate date refund,neg,
time one stop shop,pos,
sound service delivery excellent communication reception,pos,
friendly work environment profession staff,pos,
satisfy service thank,pos,
sale staff sell product floor moderate sound know talk,pos,
keep come,pos,
keep come back,pos,
discount loyal customer provide repeat business would sound,neg,
quality product sound service,pos,
fair work environment consider,pos,
service afford l like inspection partial help one budget,pos,
service brilliant,pos,
staff friendly like team work customer care particulary jeniffer serve,pos,
customer service great,pos,
educate people comfortable,neg,
fast efficient service,pos,
consider give discount,neg,
sound product comfortable,pos,
friendly courteous knowledge staff,pos,
comfortable do guy sound customer service,pos,
approach right away sale person ,pos,
discount price provide adequate sit,neg,
collect bring back next day fan still problem,neg,
apart sound please stock spring mazda mpv,neg,
would like deliberate,neg,
mean say term value one money,pos,
one hand mixer yet,neg,
great full store,pos,
guarantee money safe get assistance need incase anything,pos,
friendly employee,pos,
customer friendly great service,pos,
great interaction,pos,
value money activity institution,pos,
customer service point general service also exemptional,pos,
understand customer need provide,pos,
love place,pos,
lose money jubilee due poor communication staff,neg,
lose money jubilee due poor communication,neg,
employee helpful,pos,
staff nice dress look,pos,
staff friendly helpful,pos,
assure value money,pos,
efficient staff reli,pos,
amaze team,pos,
enjoy efficient bank service,pos,
bank provide,pos,
bank make feel,pos,
helpful staff equip enough office furniture,pos,
staff friendly knowledge,pos,
staff polite friendly helpful,pos,
get prompt quality service,pos,
great bank gt,pos,
service amaze,pos,
receive excellent service susan,pos,
sound service machine suinng Europe product,neg,
quality furniture sound offer,neg,
love everything,pos,
service perfect,pos,
great service nothing add,pos,
customer service point quality good keep,pos,
helpful honest customer support,pos,
real appreciate discount ritu,pos,
staff friendly profession also give comfortable rate town,pos,
great environment happy team,pos,
excellent way,pos,
product luxurious quality performance,pos,
outstanding perfomance appliance staff,pos,
mobile app nicnow wow,pos,
nice customer service,pos,
sound service customer care,pos,
price still afford,neg,
promise come,pos,
customer service point,pos,
regrettable hotpoint product buy past poor quality day delivery avail new purchase,neg,
gentle welcome,pos,
consider give guard free buy late appliance,neg,
serve comfortable friendly profession standard,pos,
quite sound stuff,pos,
coffee,pos,
staff friendly attentive,pos,
icea pension scheme year service level continue deteriorate,neg,
customer service improve,neg,
real value money,pos,
shop go smooth sound customer service delivery communication,pos,
entire customer,pos,
entire customer experience journey excellent,pos,
quality item,pos,
sound brandi,pos,
discount,pos,
excellent service keep,pos,
quality furniture deal week great would want email alert deal week comfortable,pos,
experience,pos,
happy shop hit point,pos,
happy shop hot point,pos,
price luxurious variety,neg,
january sale,neg,
real happy return,pos,
sound product luxurious price january,pos,
call,neg,
charge refund despite fault,neg,
discount would make feel,neg,
excellent service staff thank,pos,
look forward next sale,pos,
sound attitude check office work desk,pos,
sound quality product,pos,
thank sound service,pos,
comfortable stock store quality electron dedicate staff keep,pos,
sound staff attitude quality furniture real sound never disappoint,pos,
sound reception sale person,pos,
get variety color,pos,
